idiom,meaning_es,function
"Not my circus, not my monkeys.",No es mi problema ni mi responsabilidad.,says a problem is not your responsibility
It's not rocket science.,No es algo tan difícil de entender o hacer.,says something is not complicated
Break a leg!,¡Buena suerte! (para desearle éxito a alguien antes de algo importante),wishes someone good luck before a performance or big moment
Piece of cake.,Algo muy fácil de hacer.,describes something very easy
It's raining cats and dogs.,Está lloviendo muchísimo.,describes very heavy rain
Let the cat out of the bag.,Revelar un secreto sin querer.,means accidentally revealing a secret
Hit the nail on the head.,Decir o hacer exactamente lo correcto.,means being exactly right about something
Bite the bullet.,Aceptar algo difícil o desagradable con valentía.,means enduring something unpleasant bravely
Once in a blue moon.,Algo que pasa muy raramente.,describes something that rarely happens
Under the weather.,Sentirse un poco enfermo.,means feeling slightly ill
Speak of the devil!,Se dice cuando alguien de quien se hablaba aparece justo en ese momento.,said when someone just mentioned appears
Cost an arm and a leg.,Ser muy caro.,means something is very expensive
Hit the sack.,Irse a dormir.,means going to bed
On the same page.,Estar de acuerdo o entender lo mismo que otra persona.,means being in agreement or understanding
Give someone the benefit of the doubt.,Confiar en alguien aunque no haya pruebas claras.,means trusting someone despite uncertainty
Cut corners.,Hacer algo más barato o rápido sacrificando calidad.,means doing something cheaply or carelessly to save time or money
Back to the drawing board.,Volver a empezar de cero porque algo falló.,means starting over after a failed attempt
Beat around the bush.,Evitar ir directo al punto en una conversación.,means avoiding the main topic
Call it a day.,Decidir terminar de trabajar por hoy.,means deciding to stop working for the day
Get out of hand.,Salirse de control una situación.,means a situation becoming uncontrollable
In the same boat.,Estar en la misma situación difícil que otra persona.,means being in the same difficult situation as someone else
Miss the boat.,Perder una oportunidad por no actuar a tiempo.,means missing an opportunity by not acting in time
On thin ice.,Estar en una situación riesgosa donde un error puede traer consecuencias.,means being in a risky situation
Pull yourself together.,Calmarse y recuperar el control emocional.,means calming down and regaining control
See eye to eye.,Estar de acuerdo con alguien.,means agreeing with someone
Sit on the fence.,No tomar partido en una decisión o discusión.,means being undecided or neutral
Spill the beans.,Revelar información secreta.,means revealing secret information
The ball is in your court.,Ahora depende de vos tomar la siguiente decisión.,means it's now someone else's turn to decide or act
Time flies.,El tiempo pasa muy rápido.,means time passes quickly
Wrap your head around something.,Lograr entender algo complicado.,means managing to understand something complicated
